id,customerid,neighborhood,city,state,zipcode,status
Cb5289E6-Ee3F-4D99-Aee6-2Cdda93093C2,41Ae3F4A-Bba0-49Dd-90E1-1A9F84032B9B,Jardim Vinte E Cinco De Agosto,Duque De Caxias,Rj,25070350,1
F86C9Ff8-9774-45A1-96B5-3Ef169A1Ad21,41Ae3F4A-Bba0-49Dd-90E1-1A9F84032B9B,Jardim Vinte E Cinco De Agosto,Duque De Caxias,Rj,25070350,1
9Fd610B6-9Fb9-417A-9E64-30726Eb58201,41Af0880-79F9-46D1-A375-9C4127522927,Jardim Paulista,São Paulo,Sp,01402002,1
6B7849Db-D4A3-4394-9778-12A3Ddd9Eb8B,41B05Dde-881E-4B5D-B9D1-C246242E7282,Vila Irmaos Arnoni,São Paulo,Sp,02374000,1
6525A749-Ea7F-4A15-A918-2270460146D9,41B1Cdc0-4474-402E-A196-Dc4Ee411Bd76,Santana,São Paulo,Sp,02402500,1
7Bdae6Ed-A710-472C-B0A4-B0Bb3205Fa67,41B4D92C-904F-466A-B1Ae-3Cb23A6E74C5,Parque Atheneu,Goiânia,Go,74893150,1
0Bb10089-B01F-4E4A-Afc4-D25653Ca827F,41Bb8D29-1926-4525-A6A8-881F15E0E664,Jardim Brasil (Zona Norte),São Paulo,Sp,02225-001,1
1C674312-4610-4120-Bd78-3F35635C8082,41Bb8D29-1926-4525-A6A8-881F15E0E664,Vila Nilo,São Paulo,Sp,02276-140,1
346Dfdec-44A6-4996-8965-Dfd89Aa6Cffc,41Bb8D29-1926-4525-A6A8-881F15E0E664,Vila Nilo,São Paulo,Sp,02276-140,1
3B702Edc-377B-4E18-A628-9E058889B38C,41Bb8D29-1926-4525-A6A8-881F15E0E664,Vila Nilo,São Paulo,Sp,02276-140,1
530A36Cf-A67C-4124-B223-7D8152C3Ad08,41Bb8D29-1926-4525-A6A8-881F15E0E664,Vila Nilo,São Paulo,Sp,02276-140,1
B10E40D9-D880-46A4-8A2E-5Ab39Ba8E11D,41Bb8D29-1926-4525-A6A8-881F15E0E664,Vila Nilo,São Paulo,Sp,02276-140,1
